 speaker,original_speakerid_in_metadata,gender,ethnicity,occupation_type,education_type,occupation,education,childcity,childloc,childzip,childstate,childLat,childLong,teencity,teenloc,teenzip,teenstate,teenLat,teenLong,adultcity,adultzip,adultstate,MT_taskname,consented_for_audio_to_be_public,origin,adult_latitude,adult_longitude
1651,451,M,white,Logistics,grad,4,5,New Haven,urban,6501,CT,41.3065175,-72.9260084,New Haven,urban,6501,CT,41.3065175,-72.9260084,New Haven,6501.0,CT,2016_10_4_7_sSxbN,yes,MechanicalTurkProject,41.3082138,-72.9250518
1653,453,M,white,Laborer,somecoll,5,3,Pembroke,suburban,3275,NH,43.170513,-71.417063,Pembroke,suburban,3275,NH,43.170513,-71.417063,Pembroke,3275.0,NH,2016_10_4_11_NQMFy,yes,MechanicalTurkProject,43.1475795,-71.458043
1654,454,M,white,Ad Rater,bach,3,4,Gloucester,urban,1930,MA,42.61991,-70.6818235,Penobscot,rural,4476,ME,44.4827026,-68.705997,Penobscot,4476.0,ME,2016_10_4_12_oHhOc,no,MechanicalTurkProject,45.2930166,-68.5957766
1656,456,M,white,Student,somecoll,3,3,Bridgewater,suburban,2324,MA,41.9723874,-70.9787781,Bridgewater,suburban,2324,MA,41.9723874,-70.9787781,Amherst,1003.0,MA,2016_10_5_2_dUfJn,yes,MechanicalTurkProject,42.3731948,-72.5198761
1657,457,M,white,Sale Associate,somecoll,3,3,Waltham,suburban,2453,MA,42.3695421,-71.2405131,Waltham,suburban,2453,MA,42.3695421,-71.2405131,Waltham,2453.0,MA,2016_10_5_14_krVHu,yes,MechanicalTurkProject,42.3762385,-71.2355644
1658,458,M,white,Greenskeeper,somecoll,4,3,Athol,rural,1331,MA,42.5624081,-72.1910798,Athol,rural,1331,MA,42.5624081,-72.1910798,Athol,1331.0,MA,2016_10_5_15_bDHVm,yes,MechanicalTurkProject,42.594001,-72.2268141
1659,459,M,korean,Analyst,bach,3,4,Concord,suburban,3301,NH,43.2322695,-71.5530123,Concord,suburban,3301,NH,43.2322695,-71.5530123,Waterville,4901.0,ME,2016_10_5_17_duDvu,no,MechanicalTurkProject,44.5505773,-69.6303174
1660,460,F,white,Teacher,bach,3,4,Lakeville,rural,2347,MA,41.8345071,-70.957099,Lakeville,rural,2347,MA,41.8345071,-70.957099,Lakeville,2347.0,MA,2016_10_5_19_WgzPH,no,MechanicalTurkProject,41.8459353,-70.9494854
1661,461,F,white,Home Health Aide,somecoll,3,3,Burlington,suburban,5401,VT,44.4766215,-73.2099981,Burlington,suburban,5401,VT,44.4766215,-73.2099981,Burlington,5401.0,VT,2016_10_5_23_dCDZO,yes,MechanicalTurkProject,44.4761601,-73.212906
1662,462,F,puerto,Library Assistant,somecoll,4,3,Hartford,urban,6120,CT,41.7890733,-72.6643555,Hartford,urban,6120,CT,41.7890733,-72.6643555,Hartford,6120.0,CT,2016_10_6_0_iyyuh,yes,MechanicalTurkProject,41.764582,-72.6908547
